1488497988.98, 1488497988.99, 10.0.100.56
1488497989.98, 1488497990.0, 10.0.100.56
1488497990.98, 1488497991.0, 10.0.100.56
1488497991.99, 1488497992.09, 10.0.100.56
1488497992.99, 1488497993.01, 10.0.100.56
1488497994.0, 1488497994.01, 10.0.100.56
1488497995.0, 1488497995.02, 10.0.100.56
1488497996.0, 1488497996.02, 10.0.100.56
1488497997.01, 1488497997.03, 10.0.100.56
1488497998.01, 1488497998.03, 10.0.100.56
1488497999.01, 1488497999.03, 10.0.100.56
1488498000.01, 1488498000.03, 10.0.100.56
1488498001.02, 1488498001.03, 10.0.100.56
1488498002.02, 1488498002.04, 10.0.100.56
1488498003.02, 1488498003.07, 10.0.100.56
1488498004.03, 1488498004.05, 10.0.100.56
1488498005.03, 1488498005.06, 10.0.100.56
1488498006.04, 1488498006.06, 10.0.100.56
1488498007.04, 1488498007.06, 10.0.100.56
1488498008.04, 1488498008.06, 10.0.100.56
1488498009.05, 1488498009.07, 10.0.100.56
1488498010.05, 1488498010.07, 10.0.100.56
1488498011.06, 1488498011.08, 10.0.100.56
1488498012.06, 1488498012.1, 10.0.100.56
1488498013.06, 1488498013.09, 10.0.100.56
1488498014.07, 1488498014.09, 10.0.100.56
1488498015.07, 1488498015.09, 10.0.100.56
1488498016.07, 1488498016.09, 10.0.100.56
1488498017.08, 1488498017.1, 10.0.100.56
1488498018.08, 1488498018.1, 10.0.100.56
1488498019.09, 1488498019.11, 10.0.100.56
1488498020.09, 1488498020.11, 10.0.100.56
1488498021.09, 1488498021.11, 10.0.100.56
1488498022.1, 1488498022.13, 10.0.100.56
1488498023.11, 1488498023.13, 10.0.100.56
1488498024.11, 1488498024.13, 10.0.100.56
1488498025.11, 1488498025.13, 10.0.100.56
1488498026.11, 1488498026.13, 10.0.100.56
1488498027.12, 1488498027.14, 10.0.100.56
1488498028.12, 1488498028.14, 10.0.100.56
1488498029.13, 1488498029.15, 10.0.100.56
1488498030.13, 1488498030.15, 10.0.100.56
1488498031.13, 1488498031.15, 10.0.100.56
1488498032.14, 1488498032.16, 10.0.100.56
1488498033.14, 1488498033.16, 10.0.100.56
1488498034.14, 1488498034.18, 10.0.100.56
1488498035.15, 1488498035.17, 10.0.100.56
1488498036.15, 1488498036.17, 10.0.100.56
1488498037.15, 1488498037.17, 10.0.100.56
1488498038.16, 1488498038.17, 10.0.100.56
1488498039.16, 1488498039.2, 10.0.100.56
1488498040.16, 1488498040.18, 10.0.100.56
1488498041.16, 1488498041.19, 10.0.100.56
1488498042.17, 1488498042.19, 10.0.100.56
1488498043.17, 1488498043.2, 10.0.100.56
1488498044.18, 1488498044.2, 10.0.100.56
1488498045.18, 1488498045.2, 10.0.100.56
1488498046.19, 1488498046.21, 10.0.100.56
1488498047.19, 1488498047.21, 10.0.100.56
1488498048.19, 1488498048.22, 10.0.100.56
1488498049.2, 1488498049.22, 10.0.100.56
1488498050.2, 1488498050.31, 10.0.100.56
1488498051.21, 1488498051.23, 10.0.100.56
1488498052.21, 1488498052.24, 10.0.100.56
1488498053.22, 1488498053.24, 10.0.100.56
1488498054.22, 1488498054.24, 10.0.100.56
1488498055.23, 1488498055.25, 10.0.100.56
1488498056.23, 1488498056.37, 10.0.100.56
1488498057.23, 1488498057.26, 10.0.100.56
